


 STREAM LISTING     PERIOD      1   STEP        1

 LAYER ROW COL. STREAM  RCH.   FLOW INTO    STREAM     FLOW OUT OF   OVRLND.    DIRECT     STREAM      STREAM      STREAM     STREAM  STREAMBED   FLOW TO   CHNG. UNSAT.   GW 
                SEG.NO.  NO.   STRM. RCH.    LOSS       STRM. RCH.   RUNOFF     PRECIP       ET         HEAD        DEPTH      WIDTH  CONDCTNC.   WAT. TAB.   STORAGE     HEAD

   2   10   68     1     1    0.0000E+00  1.5589E+02   1.3245E+03  1.480E+03  0.000E+00  0.000E+00  4.22118E+02  8.170E-03  5.196E+00  3.118E+02  1.559E+02  0.000E+00  4.192E+02
   2   11   68     1     2    1.3245E+03  2.0159E+01   3.0907E+03  1.786E+03  0.000E+00  0.000E+00  4.06307E+02  1.682E-02  5.196E+00  3.762E+02  0.000E+00  0.000E+00  4.063E+02
   2   12   69     1     3    3.0907E+03 -5.2743E+01   5.2357E+03  2.092E+03  0.000E+00  0.000E+00  3.81265E+02  2.462E-02  5.196E+00  4.407E+02  0.000E+00  0.000E+00  3.814E+02
   2   13   70     1     4    5.2357E+03 -4.5672E+01   7.3737E+03  2.092E+03  0.000E+00  0.000E+00  3.66572E+02  3.158E-02  5.196E+00  4.407E+02  0.000E+00  0.000E+00  3.667E+02
   2   14   69     1     5    7.3737E+03 -1.5845E+02   9.3184E+03  1.786E+03  0.000E+00  0.000E+00  3.58647E+02  3.736E-02  5.196E+00  3.762E+02  0.000E+00  0.000E+00  3.591E+02
   2   15   69     1     6    9.3184E+03 -1.0496E+02   1.1210E+04  1.786E+03  0.000E+00  0.000E+00  3.51252E+02  4.230E-02  5.196E+00  3.762E+02  0.000E+00  0.000E+00  3.515E+02
   2   16   68     1     7    1.1210E+04 -4.3915E+01   1.3346E+04  2.092E+03  0.000E+00  0.000E+00  3.37877E+02  4.710E-02  5.196E+00  4.407E+02  0.000E+00  0.000E+00  3.380E+02
   2   13   46     2     1    0.0000E+00 -4.7462E+02   2.1794E+03  1.705E+03  0.000E+00  0.000E+00  3.60702E+02  1.242E-02  5.201E+00  4.410E+02  0.000E+00  0.000E+00  3.618E+02
   2   14   47     2     2    2.1794E+03 -2.8878E+02   3.9238E+03  1.456E+03  0.000E+00  0.000E+00  3.49263E+02  2.303E-02  5.201E+00  3.766E+02  0.000E+00  0.000E+00  3.500E+02
   2   15   47     2     3    3.9238E+03 -2.8494E+02   5.4149E+03  1.206E+03  0.000E+00  0.000E+00  3.36940E+02  2.972E-02  5.201E+00  3.121E+02  0.000E+00  0.000E+00  3.379E+02
   2   16   47     2     4    5.4149E+03 -3.4150E+02   6.9627E+03  1.206E+03  0.000E+00  0.000E+00  3.26655E+02  3.520E-02  5.201E+00  3.121E+02  0.000E+00  0.000E+00  3.277E+02
   2   17   47     2     5    6.9627E+03 -2.7982E+02   8.4487E+03  1.206E+03  0.000E+00  0.000E+00  3.20970E+02  4.015E-02  5.201E+00  3.121E+02  0.000E+00  0.000E+00  3.219E+02
   2   18   47     2     6    8.4487E+03 -3.4873E+02   1.0253E+04  1.456E+03  0.000E+00  0.000E+00  3.14805E+02  4.509E-02  5.201E+00  3.766E+02  0.000E+00  0.000E+00  3.157E+02
   2   19   48     2     7    1.0253E+04 -2.7624E+02   1.1985E+04  1.456E+03  0.000E+00  0.000E+00  3.01240E+02  5.003E-02  5.201E+00  3.766E+02  0.000E+00  0.000E+00  3.020E+02
   2   20   48     2     8    1.1985E+04 -2.7767E+02   1.3469E+04  1.206E+03  0.000E+00  0.000E+00  2.89124E+02  5.425E-02  5.201E+00  3.121E+02  0.000E+00  0.000E+00  2.900E+02
   2   21   48     2     9    1.3469E+04 -3.7926E+02   1.5303E+04  1.456E+03  0.000E+00  0.000E+00  2.80108E+02  5.839E-02  5.201E+00  3.766E+02  0.000E+00  0.000E+00  2.811E+02
   2   22   49     2    10    1.5303E+04 -2.7180E+02   1.7031E+04  1.456E+03  0.000E+00  0.000E+00  2.76853E+02  6.262E-02  5.201E+00  3.766E+02  0.000E+00  0.000E+00  2.776E+02
   2   23   49     2    11    1.7031E+04 -2.7163E+02   1.8509E+04  1.206E+03  0.000E+00  0.000E+00  2.72856E+02  6.628E-02  5.201E+00  3.121E+02  0.000E+00  0.000E+00  2.737E+02
