parnme,partrans,parval1,pargp,comments,subbasin,gw_basin
bhead_mult_1,none,1.0,ghb_bhead,#,17,1
bhead_mult_2,none,1.0,ghb_bhead,#,17,1
bhead_mult_3,none,1.0,ghb_bhead,#,17,1
bhead_mult_4,none,1.0,ghb_bhead,#,18,1
bhead_mult_5,none,1.0,ghb_bhead,#,18,1
bhead_mult_6,none,1.0,ghb_bhead,#,21,1
bhead_mult_7,none,1.0,ghb_bhead,#,21,1
carea_max_mult_01,none,1.0,prms_carea_max,#,1,1
carea_max_mult_02,none,1.0,prms_carea_max,#,2,1
carea_max_mult_03,none,1.0,prms_carea_max,#,3,1
carea_max_mult_04,none,1.0,prms_carea_max,#,4,1
carea_max_mult_05,none,1.0,prms_carea_max,#,5,1
carea_max_mult_06,none,1.0,prms_carea_max,#,6,1
carea_max_mult_07,none,1.0,prms_carea_max,#,7,1
carea_max_mult_08,none,1.0,prms_carea_max,#,8,1
carea_max_mult_09,none,1.0,prms_carea_max,#,9,1
carea_max_mult_10,none,1.0,prms_carea_max,#,10,1
carea_max_mult_11,none,1.0,prms_carea_max,#,11,1
carea_max_mult_12,none,1.0,prms_carea_max,#,12,1
carea_max_mult_13,none,1.0,prms_carea_max,#,13,1
carea_max_mult_14,none,1.0,prms_carea_max,#,14,1
carea_max_mult_15,none,1.0,prms_carea_max,#,15,1
carea_max_mult_16,none,1.0,prms_carea_max,#,16,1
carea_max_mult_17,none,1.0,prms_carea_max,#,17,1
carea_max_mult_18,none,1.0,prms_carea_max,#,18,1
carea_max_mult_19,none,1.0,prms_carea_max,#,19,1
carea_max_mult_20,none,1.0,prms_carea_max,#,20,1
carea_max_mult_21,none,1.0,prms_carea_max,#,21,1
carea_max_mult_22,none,1.0,prms_carea_max,#,22,1
covden_win_mult_01,none,1.0,prms_covden_win,#,1,1
covden_win_mult_02,none,1.0,prms_covden_win,#,2,1
covden_win_mult_03,none,1.0,prms_covden_win,#,3,1
covden_win_mult_04,none,1.0,prms_covden_win,#,4,1
covden_win_mult_05,none,1.0,prms_covden_win,#,5,1
covden_win_mult_06,none,1.0,prms_covden_win,#,6,1
covden_win_mult_07,none,1.0,prms_covden_win,#,7,1
covden_win_mult_08,none,1.0,prms_covden_win,#,8,1
covden_win_mult_09,none,1.0,prms_covden_win,#,9,1
covden_win_mult_10,none,1.0,prms_covden_win,#,10,1
covden_win_mult_11,none,1.0,prms_covden_win,#,11,1
covden_win_mult_12,none,1.0,prms_covden_win,#,12,1
covden_win_mult_13,none,1.0,prms_covden_win,#,13,1
covden_win_mult_14,none,1.0,prms_covden_win,#,14,1
covden_win_mult_15,none,1.0,prms_covden_win,#,15,1
covden_win_mult_16,none,1.0,prms_covden_win,#,16,1
covden_win_mult_17,none,1.0,prms_covden_win,#,17,1
covden_win_mult_18,none,1.0,prms_covden_win,#,18,1
covden_win_mult_19,none,1.0,prms_covden_win,#,19,1
covden_win_mult_20,none,1.0,prms_covden_win,#,20,1
covden_win_mult_21,none,1.0,prms_covden_win,#,21,1
covden_win_mult_22,none,1.0,prms_covden_win,#,22,1
extdp,none,0.0998687893152237,uzf_extdp,#,-999,1
jh_coef_mult_01_01,none,1.0,prms_jh_coef,#,1,1
jh_coef_mult_01_02,none,1.0,prms_jh_coef,#,2,1
jh_coef_mult_01_03,none,1.0,prms_jh_coef,#,3,1
jh_coef_mult_01_04,none,1.0,prms_jh_coef,#,4,1
jh_coef_mult_01_05,none,1.0,prms_jh_coef,#,5,1
jh_coef_mult_01_06,none,1.0,prms_jh_coef,#,6,1
jh_coef_mult_01_07,none,1.0,prms_jh_coef,#,7,1
jh_coef_mult_01_08,none,1.0,prms_jh_coef,#,8,1
